,measure,Date_day,value,site_id,latitude,longitude
273,Particulate Air Pollution (10 µm),2019-11-28,30.7,1004,-37.800575,144.964635
274,Ambient Air Temperature,2019-11-28,17.04,1004,-37.800575,144.964635
275,Relative Humidity,2019-11-28,60.16833333333333,1004,-37.800575,144.964635
276,Particulate Air Pollution (2.5 µm),2019-11-28,5.570833333333333,1005,-37.800629,144.965052
277,Particulate Air Pollution (10 µm),2019-11-28,30.34583333333333,1005,-37.800629,144.965052
278,Ambient Air Temperature,2019-11-28,16.73125,1005,-37.800629,144.965052
279,Relative Humidity,2019-11-28,60.66791666666666,1005,-37.800629,144.965052
280,Particulate Air Pollution (2.5 µm),2019-11-29,16.266666666666666,1001,-37.800793,144.966492
281,Particulate Air Pollution (10 µm),2019-11-29,40.449999999999996,1001,-37.800793,144.966492
282,Ambient Air Temperature,2019-11-29,17.205000000000002,1001,-37.800793,144.966492
283,Relative Humidity,2019-11-29,63.96041666666667,1001,-37.800793,144.966492
284,Particulate Air Pollution (2.5 µm),2019-11-29,15.116666666666667,1002,-37.800524,144.964122
285,Particulate Air Pollution (10 µm),2019-11-29,39.30416666666667,1002,-37.800524,144.964122
286,Ambient Air Temperature,2019-11-29,16.289166666666667,1002,-37.800524,144.964122
287,Relative Humidity,2019-11-29,71.45083333333334,1002,-37.800524,144.964122
288,Particulate Air Pollution (2.5 µm),2019-11-29,13.487499999999999,1003,-37.8023,144.960923
289,Particulate Air Pollution (10 µm),2019-11-29,34.15833333333333,1003,-37.8023,144.960923
290,Ambient Air Temperature,2019-11-29,16.37375,1003,-37.8023,144.960923
291,Relative Humidity,2019-11-29,72.28291666666667,1003,-37.8023,144.960923
292,Particulate Air Pollution (2.5 µm),2019-11-29,14.529166666666667,1004,-37.800575,144.964635
293,Particulate Air Pollution (10 µm),2019-11-29,38.920833333333334,1004,-37.800575,144.964635
294,Ambient Air Temperature,2019-11-29,15.818333333333333,1004,-37.800575,144.964635
295,Relative Humidity,2019-11-29,71.315,1004,-37.800575,144.964635
